epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.062,1.04227,2.10246,1.4375,0.69974,0.76947,0.79427,0.55445,0.801,5.38002,1.2911,0.000474899,0.000474899,0.000474899
2,154.281,1.06225,1.40438,1.43591,0.68329,0.82173,0.84216,0.63198,0.76395,1.16497,1.24457,0.000936744,0.000936744,0.000936744
3,226.437,1.05078,1.18944,1.42206,0.80144,0.86163,0.93001,0.70893,0.75496,0.78846,1.20907,0.00138408,0.00138408,0.00138408
4,303.018,1.03377,1.10127,1.405,0.86922,0.89197,0.9239,0.70969,0.70217,0.80242,1.19924,0.00136371,0.00136371,0.00136371
5,375.522,0.99308,1.034,1.38143,0.90876,0.93642,0.95275,0.78657,0.58067,0.5339,1.06136,0.00134194,0.00134194,0.00134194
6,445.755,0.95713,0.97435,1.3509,0.91636,0.93596,0.9664,0.81093,0.56204,0.45674,1.03202,0.00132018,0.00132018,0.00132018
7,515.768,0.9384,0.92782,1.34202,0.91609,0.9158,0.96464,0.81794,0.51324,0.46897,1.02322,0.00129841,0.00129841,0.00129841
8,592.572,0.89242,0.89201,1.30966,0.91702,0.89591,0.95939,0.80256,0.55496,0.51876,1.04751,0.00127665,0.00127665,0.00127665
9,664.564,0.88264,0.8607,1.29994,0.84155,0.92372,0.96032,0.83171,0.48017,0.50734,0.9893,0.00125488,0.00125488,0.00125488
10,734.887,0.87152,0.84224,1.29587,0.79954,0.88922,0.95046,0.78438,0.55785,0.63311,1.05059,0.00123312,0.00123312,0.00123312
11,807.41,0.86547,0.82754,1.29562,0.94925,0.94332,0.96747,0.81319,0.56805,0.42105,1.05696,0.00121135,0.00121135,0.00121135
12,880.72,0.84294,0.81222,1.27747,0.75903,0.91515,0.95538,0.82761,0.47916,0.67143,0.98494,0.00118959,0.00118959,0.00118959
13,952.851,0.83093,0.8,1.27364,0.88966,0.90754,0.9673,0.82365,0.52832,0.5019,1.04078,0.00116782,0.00116782,0.00116782
14,1024.91,0.83422,0.76197,1.27352,0.97594,0.94554,0.97197,0.83003,0.54629,0.37398,1.00946,0.00114606,0.00114606,0.00114606
15,1096.78,0.81403,0.76244,1.26073,0.96354,0.95413,0.97786,0.86601,0.46616,0.31933,0.96968,0.00112429,0.00112429,0.00112429
16,1175.54,0.80106,0.7418,1.25,0.9722,0.94721,0.9759,0.85726,0.47764,0.35175,0.9764,0.00110253,0.00110253,0.00110253
17,1247.27,0.79268,0.72711,1.25028,0.9472,0.95845,0.97522,0.86502,0.4408,0.33735,0.94373,0.00108076,0.00108076,0.00108076
18,1318.97,0.7846,0.72605,1.23812,0.9478,0.94144,0.97697,0.87546,0.42388,0.32957,0.93229,0.001059,0.001059,0.001059
19,1390.64,0.78363,0.72368,1.24451,0.96624,0.93852,0.97729,0.88168,0.41783,0.3195,0.92995,0.00103723,0.00103723,0.00103723
20,1464.34,0.76196,0.71516,1.23109,0.97486,0.94936,0.97494,0.88976,0.40675,0.3024,0.91412,0.00101547,0.00101547,0.00101547
21,1536.76,0.76395,0.69747,1.22643,0.97365,0.95651,0.9777,0.89068,0.40174,0.29948,0.91653,0.000993705,0.000993705,0.000993705
22,1608.65,0.76023,0.69573,1.22273,0.88765,0.88779,0.93517,0.84666,0.40687,0.48079,0.91573,0.00097194,0.00097194,0.00097194
23,1680.76,0.75028,0.67848,1.22122,0.93974,0.93912,0.97396,0.87984,0.41825,0.3424,0.92754,0.000950175,0.000950175,0.000950175
24,1753.14,0.75869,0.6963,1.22737,0.9802,0.953,0.97572,0.89133,0.38817,0.27631,0.90014,0.00092841,0.00092841,0.00092841
25,1830.14,0.747,0.67419,1.22136,0.97805,0.96621,0.97709,0.89851,0.39784,0.27636,0.90597,0.000906646,0.000906646,0.000906646
26,1904.23,0.74547,0.67842,1.21787,0.97664,0.94339,0.97419,0.88921,0.40376,0.37733,0.90591,0.000884881,0.000884881,0.000884881
27,1974.52,0.73191,0.66922,1.20795,0.96245,0.95085,0.97344,0.88881,0.40027,0.30932,0.92252,0.000863116,0.000863116,0.000863116
28,2045.49,0.73204,0.66891,1.20804,0.97927,0.97051,0.98231,0.89618,0.41608,0.26294,0.9221,0.000841351,0.000841351,0.000841351
29,2115.81,0.72314,0.65405,1.20796,0.9857,0.96669,0.98175,0.91148,0.3805,0.25962,0.88828,0.000819586,0.000819586,0.000819586
30,2186.53,0.72262,0.65362,1.20275,0.9859,0.96219,0.98114,0.90683,0.36657,0.25495,0.88233,0.000797822,0.000797822,0.000797822
31,2257.36,0.71437,0.6504,1.20329,0.98237,0.96908,0.98081,0.90773,0.37299,0.25623,0.88174,0.000776057,0.000776057,0.000776057
32,2328.01,0.70971,0.63288,1.19886,0.98787,0.95972,0.98205,0.90601,0.36951,0.26405,0.88578,0.000754292,0.000754292,0.000754292
33,2402.15,0.70364,0.62645,1.18932,0.98675,0.96431,0.98013,0.90998,0.36098,0.2571,0.87748,0.000732527,0.000732527,0.000732527
34,2472.79,0.69063,0.62578,1.18658,0.97084,0.95508,0.9796,0.91571,0.36085,0.26886,0.86937,0.000710763,0.000710763,0.000710763
35,2543.07,0.69832,0.62174,1.18784,0.98675,0.96315,0.98011,0.91701,0.34801,0.26158,0.86657,0.000688998,0.000688998,0.000688998
36,2613.59,0.68813,0.61033,1.18048,0.99038,0.96537,0.98002,0.9129,0.3562,0.23855,0.86868,0.000667233,0.000667233,0.000667233
37,2683.67,0.68958,0.60718,1.17854,0.99099,0.96695,0.98319,0.9165,0.34817,0.23732,0.86434,0.000645468,0.000645468,0.000645468
